"INDICATOR","HFA_476"

"HFA_476","Число больничных коек на 100000 населения"

"UNIT_TYPE","Единица"
"BEDS_100K","спальных мест на 100 000 населения"

"EXTERNID","Идентификатор в источнике данных"

"DATA_SOURCE","Источник данных"
"HFA","База данных "Здоровье для всех""

"DATA_TYPE_REPRESENTATION","Представление типов данных"
"RATIO","Соотношение"

"DATA_SET","Набор данных"
"HFA","База данных "Здоровье для всех" (ВОЗ)"

"DATA_MASK","Маска для контроля формата выходных значений"

"SEX","Пол"
"FEMALE","Женский"
"MALE","Мужской"
"ALL","Все"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1980","427.17"
"ALB","","ALL","1981","418.71"
"ALB","","ALL","1982","416.07"
"ALB","","ALL","1983","408.62"
"ALB","","ALL","1984","413.9"
"ALB","","ALL","1985","413.88"
"ALB","","ALL","1986","406.97"
"ALB","","ALL","1987","397"
"ALB","","ALL","1988","393.55"
"ALB","","ALL","1989","413.21"
"ALB","","ALL","1990","402.49"
"ALB","","ALL","1991","399.87"
"ALB","","ALL","1992","401.34"
"ALB","","ALL","1993","383.14"
"ALB","","ALL","1994","301.71"
"ALB","","ALL","1995","319.22"
"ALB","","ALL","1996","314.32"
"ALB","","ALL","1997","304.81"
"ALB","","ALL","1998","305.19"
"ALB","","ALL","1999","302.57"
"ALB","","ALL","2000","326.33"
"ALB","","ALL","2001","325.52"
"ALB","","ALL","2002","314.09"
"ALB","","ALL","2003","306.63"
"ALB","","ALL","2004","300.74"
"ALB","","ALL","2005","308.29"
"ALB","","ALL","2006","312.24"
"ALB","","ALL","2007","309.46"
"ALB","","ALL","2009","300.77"
"ALB","","ALL","2010","298.93"
"ALB","","ALL","2011","288.28"
"ALB","","ALL","2012","288.46"
"ALB","","ALL","2013","288.82"
"AND","","ALL","1996","317.91"
"AND","","ALL","1997","300.49"
"AND","","ALL","1998","309.49"
"AND","","ALL","1999","320.07"
"AND","","ALL","2000","320.15"
"AND","","ALL","2001","258.75"
"AND","","ALL","2002","367.07"
"AND","","ALL","2003","334.1"
"AND","","ALL","2004","276.15"
"AND","","ALL","2005","265.08"
"AND","","ALL","2006","257.87"
"AND","","ALL","2007","261.62"
"AND","","ALL","2009","253.91"
"ARM","","ALL","1980","839.54"
"ARM","","ALL","1981","857.84"
"ARM","","ALL","1982","868.28"
"ARM","","ALL","1983","854.81"
"ARM","","ALL","1984","866.01"
"ARM","","ALL","1985","869.92"
"ARM","","ALL","1986","902.42"
"ARM","","ALL","1987","899.66"
"ARM","","ALL","1988","919.04"
"ARM","","ALL","1989","903.58"
"ARM","","ALL","1990","909.48"
"ARM","","ALL","1991","852.93"
"ARM","","ALL","1992","836.77"
"ARM","","ALL","1993","884.92"
"ARM","","ALL","1994","866.86"
"ARM","","ALL","1995","880.62"
"ARM","","ALL","1996","827.78"
"ARM","","ALL","1997","787.43"
"ARM","","ALL","1998","780.53"
"ARM","","ALL","1999","729.37"
"ARM","","ALL","2000","644.43"
"ARM","","ALL","2001","502.5"
"ARM","","ALL","2002","434.75"
"ARM","","ALL","2003","442.44"
"ARM","","ALL","2004","443.65"
"ARM","","ALL","2005","446.09"
"ARM","","ALL","2006","441.97"
"ARM","","ALL","2007","406.82"
"ARM","","ALL","2008","382.12"
"ARM","","ALL","2009","372.04"
"ARM","","ALL","2010","373.46"
"ARM","","ALL","2011","374.36"
"ARM","","ALL","2012","404.78"
"ARM","","ALL","2013","405.96"
"ARM","","ALL","2014","416.28"
"AUT","","ALL","1985","993.63"
"AUT","","ALL","1986","991.2"
"AUT","","ALL","1987","979.01"
"AUT","","ALL","1988","965.21"
"AUT","","ALL","1989","951.42"
"AUT","","ALL","1990","928.96"
"AUT","","ALL","1991","904.5"
"AUT","","ALL","1992","883.44"
"AUT","","ALL","1993","869.37"
"AUT","","ALL","1994","859.59"
"AUT","","ALL","1995","853.68"
"AUT","","ALL","1996","843.99"
"AUT","","ALL","1997","834.33"
"AUT","","ALL","1998","819.54"
"AUT","","ALL","1999","808.2"
"AUT","","ALL","2000","794.78"
"AUT","","ALL","2001","784.78"
"AUT","","ALL","2002","780.64"
"AUT","","ALL","2003","773.64"
"AUT","","ALL","2004","773.69"
"AUT","","ALL","2005","768.95"
"AUT","","ALL","2006","766.26"
"AUT","","ALL","2007","775.23"
"AUT","","ALL","2008","769.3"
"AUT","","ALL","2009","768.08"
"AUT","","ALL","2010","765.55"
"AUT","","ALL","2011","767.92"
"AUT","","ALL","2012","767.73"
"AUT","","ALL","2013","764.7"
"AUT","","ALL","2014","761.01"
"AZE","","ALL","1980","973.95"
"AZE","","ALL","1985","989.68"
"AZE","","ALL","1986","984.11"
