Province/State,Date,Confirmed,Deaths,Recovered,Active
Москва,2020-03-22,191,0,8,183
Москва,2020-03-23,262,0,9,253
Москва,2020-03-24,290,0,9,281
Москва,2020-03-25,410,0,14,396
Москва,2020-03-26,546,2,15,529
Москва,2020-03-27,703,3,18,682
Москва,2020-03-28,817,4,18,795
Москва,2020-03-29,1014,6,28,980
Москва,2020-03-30,1226,6,28,1192
Москва,2020-03-31,1613,11,70,1532
Москва,2020-04-01,1880,16,115,1749
Москва,2020-04-02,2475,19,140,2316
Москва,2020-04-03,2923,20,168,2735
Москва,2020-04-04,3357,27,194,3136
Москва,2020-04-05,3893,29,198,3666
Москва,2020-04-06,4484,29,206,4249
Москва,2020-04-07,5181,31,222,4928
Москва,2020-04-08,5841,31,270,5540
Москва,2020-04-09,6698,38,313,6347
Москва,2020-04-10,7822,50,350,7422
Москва,2020-04-11,8852,58,499,8295
Москва,2020-04-12,10158,72,687,9399
Москва,2020-04-13,11513,82,837,10594
Москва,2020-04-14,13002,95,1016,11891
Москва,2020-04-15,14776,106,1205,13465
Москва,2020-04-16,16146,113,1394,14639
Москва,2020-04-17,18105,127,1517,16461
Московская область,2020-03-22,35,0,1,34
Московская область,2020-03-23,35,0,1,34
Московская область,2020-03-24,35,0,2,33
Московская область,2020-03-25,41,0,2,39
Московская область,2020-03-26,41,0,7,34
Московская область,2020-03-27,49,0,8,41
Московская область,2020-03-28,85,0,8,77
Московская область,2020-03-29,112,0,10,102
Московская область,2020-03-30,119,0,10,109
Московская область,2020-03-31,119,0,14,105
Московская область,2020-04-01,134,1,17,116
Московская область,2020-04-02,177,2,17,158
Московская область,2020-04-03,211,2,17,192
Московская область,2020-04-04,260,2,30,228
Московская область,2020-04-05,305,2,33,270
Московская область,2020-04-06,387,3,34,350
Московская область,2020-04-07,454,8,47,399
Московская область,2020-04-08,549,10,50,489
Московская область,2020-04-09,748,13,52,683
Московская область,2020-04-10,930,13,66,851
Московская область,2020-04-11,1082,14,69,999
Московская область,2020-04-12,1360,18,75,1267
Московская область,2020-04-13,1855,19,75,1761
Московская область,2020-04-14,2315,24,75,2216
Московская область,2020-04-15,2587,26,75,2486
Московская область,2020-04-16,3054,33,91,2930
Московская область,2020-04-17,3526,40,105,3381
Санкт-Петербург,2020-03-22,16,0,2,14
Санкт-Петербург,2020-03-23,16,0,2,14
Санкт-Петербург,2020-03-24,21,0,2,19
Санкт-Петербург,2020-03-25,21,0,2,19
Санкт-Петербург,2020-03-26,26,0,5,21
Санкт-Петербург,2020-03-27,26,0,5,21
Санкт-Петербург,2020-03-28,37,0,5,32
Санкт-Петербург,2020-03-29,42,1,5,36
Санкт-Петербург,2020-03-30,50,1,5,44
Санкт-Петербург,2020-03-31,98,2,7,89
Санкт-Петербург,2020-04-01,125,2,7,116
